site,OU,Plangrp,shift,Value
E,O4,O4_Dart,21||6,4
E,O4,O4_Dart,6||15,7
E,O4,O4_Dart,7||16,5
E,O4,O4_Dart,8||17,15
E,O4,O4_Dart,9||18,33
E,O4,O4_LO5,10||19,23
E,O4,O4_LO5,12||21,20
E,O4,O4_LO5,15||0,51
E,O4,O4_LO5,8||17,56
E,O4,O4_LO5,9||18,13
E,O4,O4_Pay,12||21,10
E,O4,O4_Pay,15||0,18
E,O4,O4_Pay,17||2,16
E,O4,O4_Pay,21||6,3
E,O4,O4_Pay,6||15,14
E,O4,O4_Pay,8||17,28
E,O4,O4_Pay,9||18,29
E,O4,O4_Primary_Email,12||21,2
E,O4,O4_Primary_Email,15||0,2
E,O4,O4_Primary_Email,19||4,13
E,O4,O4_Primary_Email,22||7,1
E,O4,O4_Primary_Email,23||8,1
E,O4,O4_Primary_Email,8||17,6
E,O4,O4_Primary_Email,9||18,1
E,O4,O4_Primary_HO4di_Phone,10||19,84
E,O4,O4_Primary_HO4di_Phone,12||21,344
E,O4,O4_Primary_HO4di_Phone,13||22,1
E,O4,O4_Primary_HO4di_Phone,15||0,261
E,O4,O4_Primary_HO4di_Phone,17||2,1
E,O4,O4_Primary_HO4di_Phone,19||4,1
E,O4,O4_Primary_HO4di_Phone,6||15,2
E,O4,O4_Primary_HO4di_Phone,7||16,2
E,O4,O4_Primary_HO4di_Phone,8||17,182
E,O4,O4_Primary_HO4di_Phone,9||18,94
E,O4,O4_Primary_MessageUs,12||21,10
E,O4,O4_Primary_MessageUs,15||0,54
E,O4,O4_Primary_MessageUs,6||15,59
E,O4,O4_Primary_MessageUs,8||17,47
E,O4,O4_Primary_MessageUs,9||18,1
E,O4,O4_Primary_Phone,13||22,6
E,O4,O4_Primary_Phone,15||0,9
E,O4,O4_Primary_Phone,6||15,2
E,O4,O4_Primary_Phone,9||18,11
E,O4,O4_Prime,10||19,5
E,O4,O4_Prime,12||21,8
E,O4,O4_Prime,15||0,47
E,O4,O4_Prime,17||2,18
E,O4,O4_Prime,22||7,5
E,O4,O4_Prime,6||15,10
E,O4,O4_Prime,8||17,76
E,O4,O4_Prime,9||18,7
E,O4,O4_SDS_CAP,10||19,16
E,O4,O4_SDS_CAP,12||21,15
E,O4,O4_SDS_CAP,13||22,11
E,O4,O4_SDS_CAP,15||0,6
E,O4,O4_SDS_CAP,17||2,19
E,O4,O4_SDS_CAP,19||4,12
E,O4,O4_SDS_CAP,1||10,1
E,O4,O4_SDS_CAP,22||7,2
E,O4,O4_SDS_CAP,6||15,27
E,O4,O4_SDS_CAP,8||17,104
E,O4,O4_SDS_CAP,9||18,33
E,O8,CS O8,12||21,8
E,O8,CS O8,15||0,12
E,O8,CS O8,9||18,9
E,O9,CS O8,12||21,1
E,O9,CS O8,15||0,1
E,O9,CS O8,19||4,1
E,O9,O9_B2B,12||21,33
E,O9,O9_B2B,15||0,24
E,O9,O9_B2B,17||2,2
E,O9,O9_B2B,18||3,9
E,O9,O9_B2B,19||4,1
E,O9,O9_B2B,21||6,10
E,O9,O9_B2B,6||15,13
E,O9,O9_BACK_OFFICE,12||21,6
E,O9,O9_BACK_OFFICE,15||0,14
E,O9,O9_BACK_OFFICE,21||6,4
E,O9,O9_BACK_OFFICE,6||15,2
E,O9,O9_DART,12||21,9
E,O9,O9_DART,13||22,5
E,O9,O9_DART,15||0,5
E,O9,O9_DART,19||4,16
E,O9,O9_HMD,12||21,19
E,O9,O9_HMD,15||0,6
E,O9,O9_HMD,17||2,2
E,O9,O9_HMD,21||6,27
E,O9,O9_HMD,6||15,15
E,O9,O9_PRIMARY,12||21,15
E,O9,O9_PRIMARY,13||22,34
E,O9,O9_PRIMARY,15||0,20
E,O9,O9_PRIMARY,17||2,12
E,O9,O9_PRIMARY,19||4,3
E,O9,O9_PRIMARY,21||6,32
E,O9,O9_PRIMARY,6||15,8
E,O9,O9_SDS_CAP,13||22,4
E,O9,O9_SDS_CAP,15||0,1
E,O9,O9_SDS_CAP,19||4,5
E,O9,O9_SDS_CAP_CASE,12||21,1
E,O9,O9_SDS_CAP_CASE,15||0,2
E,O9,O9_SDS_CAP_CASE,22||7,3
E,O9,O9_SDS_CAP_CASE,6||15,1
E,O9,O9_SDS_CAP_ECM,12||21,2
E,O9,O9_SDS_CAP_ECM,13||22,11
E,O9,O9_SDS_CAP_ECM,14||23,1
E,O9,O9_SDS_CAP_ECM,15||0,5
E,O9,O9_SDS_CAP_ECM,17||2,2
E,O9,O9_SDS_CAP_ECM,19||4,1
E,O9,O9_SDS_CAP_ECM,21||6,3
E,O9,O9_SDS_CAP_ECM,22||7,7
E,O9,O9_SDS_CAP_ECM,6||15,5

